"";"locus_id";"symbol";"why"
"1";"LOC_Os04g48070";"ROC4";"HB expressed in Spikelet Meristem"
"2";"LOC_Os10g42490";NA;"HB expressed in Spikelet Meristem"
"3";"LOC_Os05g02730";"GLR1|OsWOX3B|GL1|LSY1";"HB expressed in Spikelet Meristem"
"4";"LOC_Os02g45250";"Roc5|oul1";"HB expressed in Spikelet Meristem"
"5";"LOC_Os09g29460";"Oshox4";"HB expressed in Spikelet Meristem"
"6";"LOC_Os09g35760";NA;"HB expressed in Spikelet Meristem"
"7";"LOC_Os08g08820";"Roc1";"HB expressed in Spikelet Meristem"
"8";"LOC_Os03g47022";NA;"HB expressed in Spikelet Meristem"
"9";"LOC_Os04g53540";NA;"HB expressed in Spikelet Meristem"
"10";"LOC_Os07g39320";NA;"HB expressed in Spikelet Meristem"
"11";"LOC_Os01g47710";"DWT1";"HB expressed in Spikelet Meristem"
"12";"LOC_Os08g04190";NA;"HB expressed in Spikelet Meristem"
"13";"LOC_Os05g38120";"SH5";"HB expressed in Spikelet Meristem"
"14";"LOC_Os02g13310";NA;"HB expressed in Spikelet Meristem"
"15";"LOC_Os06g10600";NA;"HB expressed in Spikelet Meristem"
